,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_subj(1.2).484,-3.08761673512,0.385507734753,-3.84445217443,-3.34843668851,-3.08155477364,-2.8300664607,-2.32579707969,0.00959880286942
v_subj(1.2).485,-2.93093116188,0.422566741012,-3.77549172383,-3.20490840465,-2.92837394857,-2.65076149168,-2.11220142299,0.00964340092585
v_subj(1.2).486,-1.47811210277,0.290882757874,-2.04417861834,-1.67296980223,-1.4787269443,-1.27570501501,-0.907961574097,0.00790558295655
v_subj(1.2).487,0.213953151179,0.420191571017,-0.589859103946,-0.0724993683872,0.214902182643,0.497479397094,1.04892406667,0.0112572396199
v_subj(1.2).488,-0.78461564089,0.323177538424,-1.42526904848,-1.00064893593,-0.770160847425,-0.567426933127,-0.137143969321,0.00882329769044
v_subj(1.2).489,-1.43257508853,0.377025244311,-2.19168782111,-1.68520990104,-1.43870134585,-1.17904090634,-0.671829745764,0.00736387856473
v_subj(1.2).492,-1.92743726181,0.543713150048,-2.98356078232,-2.30389825156,-1.93335104835,-1.55855760126,-0.864303786268,0.0133170035028
v_subj(1.2).493,-1.30736112499,0.326753481392,-1.96182363844,-1.52193942734,-1.30614246152,-1.07964623562,-0.695676295697,0.00767837402339
v_subj(1.2).494,-4.35440860246,0.45251734426,-5.21921502003,-4.66488300372,-4.36364795734,-4.04505852824,-3.45236682636,0.0124021102185
v_subj(1.3).374,-3.75178351143,0.427183624287,-4.61973754309,-4.02165030509,-3.73974134376,-3.46482228547,-2.939735021,0.0110656181945
v_subj(1.3).474,-2.53189978386,0.363709269949,-3.2244354906,-2.79000098924,-2.52710138163,-2.27217399857,-1.83699644659,0.00928774587001
v_subj(1.3).475,-3.79474638312,0.410232149437,-4.60820352124,-4.06118100371,-3.79724251877,-3.52958611789,-2.98865111176,0.0102761953796
v_subj(1.3).476,-0.465066259498,0.265680012715,-0.984489032005,-0.639786578133,-0.462060328173,-0.282405673513,0.0327285696682,0.00620313307878
v_subj(1.3).478,-2.64907821311,0.386040873703,-3.40652247431,-2.90882227607,-2.65818224154,-2.38730687303,-1.90309904181,0.00839010800906
v_subj(1.3).479,-2.75868389676,0.342080809378,-3.44738631146,-2.97751743479,-2.75387973046,-2.52806019454,-2.09555202681,0.00826080344908
v_subj(1.3).480,-2.53383333158,0.315968271843,-3.15738822597,-2.74417994004,-2.53422031244,-2.31324360014,-1.91114467696,0.00966792393426
v_subj(1.3).481,-2.30099560391,0.38778791086,-3.03797367722,-2.56960838739,-2.29431286443,-2.03868764555,-1.54332831936,0.00994724673935
v_subj(1.3).482,-1.32456374096,0.343327702064,-1.96963981537,-1.561007629,-1.31277191332,-1.08059529036,-0.691066449672,0.00887066325247
v_subj(1.3).483,-3.06966082592,0.34628491108,-3.75096370996,-3.29175868938,-3.07429768822,-2.83686898894,-2.37626271122,0.0110581511961
v_subj(1.3).484,-1.48326826644,0.340806543458,-2.16787906387,-1.70890865624,-1.47947320465,-1.24839265593,-0.816388504672,0.00937987663833
v_subj(1.3).485,-2.84828764563,0.418741912962,-3.66980987701,-3.1288291226,-2.84991340856,-2.55508001791,-2.04400008332,0.00974241253422
v_subj(1.3).486,-1.5238593403,0.316484702287,-2.14099487441,-1.74658078879,-1.52606621176,-1.30082820068,-0.914594233086,0.00841366017231
v_subj(1.3).487,1.24647861774,0.449898747285,0.352106650249,0.957500346988,1.23804718981,1.53824690007,2.13922374543,0.0114508465336
v_subj(1.3).488,-0.912880179545,0.375782467129,-1.65125339388,-1.16990649102,-0.911182863044,-0.669310788472,-0.151278331769,0.00901826712431
v_subj(1.3).489,-0.844697894606,0.363920762515,-1.5734015241,-1.0824127109,-0.840217125186,-0.599978881721,-0.121367629415,0.00924870735647
v_subj(1.3).492,-0.83421001071,0.50712551674,-1.81997737718,-1.18151805907,-0.830536717488,-0.476981354172,0.12857986383,0.0123364886696
